Species,bird,carrion,egg,fish,fruit,hard_invert,herptile,large_mammal,plant,root,seed,small_mammal,soft_invert
Acinonyx_jubatus,2.104859379655335,1.4381038858814943,1.3353725140393506,1.3854800156394713,1.3342279689621037,1.5564091288275879,1.9932206815012952,3.7561722852614046,1.6222757659659102,1.0308043768960367,1.0561396874434335,3.114779546136222,1.1013719980044898
Ailuropoda_melanoleuca,1.75794646118005,2.1086101168978977,1.3095139953625592,1.572393813969665,2.4421811862964056,1.9720886379478173,1.4130701071152236,1.8732165613797254,3.1078554996300554,1.4376346228444756,1.3942278056014288,1.9917448440000651,1.5037335184489002
Ailurus_fulgens,1.861251546021357,1.5750800109223362,1.535575042948064,1.376837872194459,2.586342191704615,3.1990177128502895,2.1857187961824387,1.1052732087213237,2.7476930339767254,1.205235856722761,1.5423343223195798,2.1555416692985747,2.3206177823161522
Arctictis_binturong,1.9809510674735873,1.4877017182301842,1.4383968492003865,1.5778997701148387,3.574210841142513,2.7954082370663054,1.8625181299038054,1.3548568847932043,1.5131694211780644,1.1393438232817543,1.183020118803151,2.559166745422077,1.6090334889745668
Arctonyx_collaris,2.0197163925009334,1.6617765994085227,1.567162956106821,1.8581748243642366,3.1022462268246422,3.38380653317881,2.515642351499996,1.232225239622863,1.835637783833297,1.2150821815851802,1.4038289085285842,2.6283412098814956,2.721389060691027
Atilax_paludinosus,2.223911922313304,1.8265523451483237,1.596663474306918,1.5576848928720344,1.8602510555069895,3.376057191243636,2.170217715065469,1.2589214790005812,1.2079175107294928,1.0977091262383898,1.2925156141346883,3.1530581303223344,2.386828303114088
Bassariscus_astutus,2.3600308247655812,1.7657398707719751,1.7535629233059997,1.426523026418243,3.695215261454232,3.8109964928500384,2.7075221161186938,1.0392014725150054,2.315887936605309,1.1328911534654547,1.6239086181359321,3.1914516711473464,3.481943347696047
Bdeogale_jacksoni,1.4516464711374149,1.7635293454179528,1.7137396275606842,1.2028669403303176,2.0967443036693147,3.792665306832077,2.3090684077501913,1.020617616607569,1.3592154499166842,1.2135092905773732,1.3449693949575372,1.8766295176290613,2.745681199588335
Canis_adustus,2.2806625873708666,2.379785804723651,1.626942830487453,1.384445820316713,3.2359771715522316,2.6822052658865867,2.0112523858673463,1.9695327165103282,2.1459947491952978,1.1247907799178685,1.4187220597096621,3.1769873044610053,1.7516187955351037
Canis_aureus,2.405060239266825,2.414303284874678,1.6294705946232757,1.5345128608552152,2.801876454101389,2.3773344301221155,2.0275901515568733,2.2727321815049892,2.115716308300127,1.1000570335072197,1.3658581792510769,3.3911004952414885,1.5625254062772749
